Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
Accipiter badius,NA,Y,NA,NA,NA,NA
Accipiter cirrocephalus,NA,Y,NA,NA,NA,NA
Accipiter erythrauchen,NA,Y,Y,NA,MALUKU,"Accipiter erythrauchen is found on the islands of Morotai, Halmahera, Bacan, Obi, Buru, Ambon and Seram, Indonesia (Ferguson-Lees and Christie 2001)."
Accipiter fasciatus,NA,Y,NA,NA,NA,NA
Accipiter griseiceps,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695465/93510962
Accipiter gularis,NA,Y,NA,Y,NA,NA
Accipiter henicogrammus,NA,Y,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22695544/176242444
Accipiter hiogaster,NA,Y,NA,NA,NA,NA
Accipiter melanochlamys,NA,Y,NA,NA,NA,NA
Accipiter meyerianus,NA,Y,NA,NA,NA,NA
Accipiter nanus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695591/207761327
Accipiter nisus,NA,Y,NA,NA,NA,NA
Accipiter poliocephalus,NA,Y,NA,NA,PAPUA,https://www.iucnredlist.org/species/22695558/93515750
Accipiter rhodogaster,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695610/93519156
Accipiter soloensis,NA,Y,NA,Y,NA,NA
Accipiter sylvestris,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22727727/94958582
Accipiter trinotatus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695516/93513461
Accipiter trivirgatus,NA,Y,NA,NA,NA,NA
Accipiter virgatus,NA,Y,NA,NA,NA,NA
Acerodon humilis,NA,Y,Y,NA,"KARAKELONG, SULAWESI","This species is known only from the islands of Salebabu (95 kmÂ²) and Karekaleng (976 kmÂ²) in the Talaud group, in Indonesia. It was described in 1909 from three specimens and no further specimens had been recorded until Riley (2002) found the bat alive on the Talaud Islands. The type locality for this species is Lirong, Talaud Islands, Indonesia."
Acridotheres cinereus,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22710940/176451306
Acridotheres javanicus,NA,NA,Y,NA,"JAWA, BALI",https://www.iucnredlist.org/species/103871334/176499647
Acridotheres melanopterus,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22710909/201845082
Acridotheres tertius,Acridotheres melanopterus,Y,NA,NA,NA,NA
Acridotheres tricolor,Acridotheres melanopterus,Y,NA,NA,NA,NA
Acridotheres melanopterus,NA,Y,NA,NA,NA,NA
Acrocephalus australis,NA,NA,NA,Y,NA,NA
Acrocephalus bistrigiceps,NA,NA,NA,Y,NA,NA
Acrocephalus orientalis,NA,NA,NA,Y,NA,NA
Actenoides capucinus,NA,Y,Y,NA,SULAWESI (TENGGARA & SELATAN),"Actenoides capucinus is restricted to east, south-east and south Sulawesi, Indonesia (BirdLife International 2001). It is generally considered to be uncommon, although it is highly inconspicuous."
Actenoides concretus,NA,Y,NA,NA,NA,NA
Actenoides monachus,NA,Y,Y,NA,SULAWESI (TENGAH & BARAT),"Actenoides monachus is restricted to north and central Sulawesi including the islands of Manadotua and Lembeh, Indonesia (BirdLife International 2001). It is generally considered to be uncommon, although it is highly inconspicuous. It is reported to be locally common in parts of Lore Lindu National Park, Dumoga-Bone National Park and Tangkoko DuaSudara Nature Reserve."
Actenoides princeps,NA,Y,Y,NA,SULAWESI (BARAT & TENGAH),https://www.iucnredlist.org/species/22726858/217814614
Actenoides regalis,NA,NA,Y,NA,SULAWESI (TENGGARA),https://www.iucnredlist.org/species/22727941/94966220
Actitis hypoleucos,NA,NA,NA,Y,NA,NA
Aegotheles crinifrons,NA,NA,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22689546/130166032
Aepypodius arfakianus,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22678555/92778438
Aepypodius bruijnii,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22678559/188436669
Aerodramus infuscatus,NA,NA,Y,NA,SULAWESI & MALUKU,https://www.iucnredlist.org/species/22686522/130108054
Aerodramus vulcanorum,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22686543/110969594
Aethopyga duyvenbodei,NA,Y,Y,NA,SULAWESI (KEPULAUAN SANGIHE),"Aethopyga duyvenbodei is currently known from Sangihe, north of Sulawesi, Indonesia, although there is an historical record from nearby Siau (BirdLife International 2001). In 1995, it was found to be regular at low densities at seven localities and in 1998-1999 it was the most commonly encountered forest species at Gunung Sahendaruman, suggesting locally high population densities. It was also found to occur at low densities in secondary habitats well isolated from primary forest, suggesting resilience to habitat loss (Riley 2002). It is, however, absent from large areas of the island, and continuing loss of both primary and secondary forest habitat suggests that populations continue to decline."
Aethopyga eximia,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22718084/94565956
Aethopyga mystacalis,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/103804351/94566823
Aethopyga siparaja,NA,Y,NA,NA,NA,NA
Aetoxylon sympetalum,NA,Y,Y,NA,KALIMANTAN BARAT,https://www.iucnredlist.org/species/125457965/125630400
Agathis labillardierei,NA,Y,NA,NA,NA,NA
Agropsar philippensis,NA,NA,NA,Y,NA,NA
Agropsar sturninus,NA,NA,NA,Y,NA,NA
Ailuroedus buccoides,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22703618/130218705
Ailuroedus melanotis,NA,Y,NA,NA,NA,NA
Ailurops melanotis,NA,Y,NA,NA,NA,"This species is endemic to Indonesia, where it has been reported from Sangihe (the largest island in the Sangihe Island group) and Salibabu (within the Talaud Islands). However, although a bear cuscus has been seen and photographed on Sangihe, no specimen from here is known to exist. It has been assumed that this bear cuscus is <em>Ailurops melanotis</em>, but this requires confirmation as the Sangihe Island group is separate from the Talaud Islands and lies closer to Sulawesi, where the more widespread <em>A. ursinus</em> exists."
Alcedo atthis,NA,NA,NA,Y,NA,NA
Alcedo coerulescens,NA,NA,Y,NA,JAWA & SUMATERA,https://www.iucnredlist.org/species/22683117/92976544
Alcedo euryzona,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22726971/125574893
Alcedo peninsulae,NA,Y,NA,NA,NA,NA
Alcippe pyrrhoptera,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22716636/111108515
Alisterus amboinensis,NA,Y,Y,NA,MALUKU & PAPUA,https://www.iucnredlist.org/species/22685051/93056866
Alisterus chloropterus,NA,Y,NA,NA,NA,NA
Alophoixus bres,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/103821243/182418500
Amaurornis isabellina,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22692624/131929256
Amaurornis magnirostris,NA,Y,Y,NA,SULAWESI (PULAU KARAKELONG),https://www.iucnredlist.org/species/22732147/95043197
Amaurornis phoenicurus,NA,NA,NA,Y,NA,NA
Amblyornis flavifrons,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22703657/93931517
Amblyornis inornata,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22703644/130219341
Amblyornis macgregoriae,NA,Y,NA,NA,NA,NA
Amorphophallus decus-silvae,NA,Y,NA,NA,NA,NA
Amorphophallus titanum,NA,Y,Y,NA,SUMATRA,https://www.iucnredlist.org/species/118042834/118043213
Anaphalis javanica,NA,Y,NA,NA,NA,NA
Anas acuta,NA,NA,NA,Y,NA,NA
Anhinga melanogaster,NA,Y,NA,NA,NA,NA
Anorrhinus galeritus,NA,Y,NA,NA,NA,NA
Anous minutus,NA,Y,NA,NA,NA,NA
Anous stolidus,NA,Y,NA,NA,NA,NA
Anoxypristis cuspidata,NA,Y,NA,NA,NA,NA
Anseranas semipalmata,NA,Y,NA,NA,NA,NA
Anthracoceros albirostris,NA,Y,NA,NA,NA,NA
Anthracoceros malayanus,NA,Y,NA,NA,NA,NA
Anthreptes rhodolaemus,NA,Y,NA,NA,NA,NA
Anthus cervinus,NA,NA,NA,Y,NA,NA
Anthus gustavi,NA,NA,NA,Y,NA,NA
Antigone rubicunda,Grus rubicunda,Y,NA,NA,NA,NA
Grus rubicunda,NA,Y,NA,NA,NA,NA
Anurophasis monorthonyx,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22678993/92797522
Apalharpactes mackloti,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22730186/95025459
Apalharpactes reinwardtii,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22682824/178034431
Aplonis crassa,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),"Aplonis crassa is restricted to the Banda Sea Islands Endemic Bird Area, Indonesia, where it occurs only on the Tanimbar group. It is common within this small range."
Aplonis magna,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22710559/94251613
Aplonis mysolensis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22710544/131958687
Aprosmictus erythropterus,NA,Y,NA,NA,NA,NA
Aprosmictus jonquillaceus,NA,Y,NA,NA,NA,NA
Apus pacificus,NA,NA,NA,Y,NA,NA
Aquila audax,NA,Y,NA,NA,NA,NA
Aquila fasciata,NA,Y,NA,NA,NA,"Behaviour The species has a fragmented distribution across the southern Palearctic and Indomalayan regions, and is marginally Afrotropical (45°N to 10°S). It is locally uncommon to rare and in decline across its range. The species is resident throughout its range, although juveniles will disperse up to 200km with individuals occasionally wandering further afield and passing through key migration routes (Ferguson-Lees and Christie 2001, Shirihai et al. 2000). Habitat The species occupies mountainous, rocky, arid to semi-moist habitat, from sea level to 1,500m, but up to 3000m in Africa and 3750m in the Himalayan foothills. It generally occurs in open areas but also occupies woodland. Juveniles often occupy areas near large water bodies (Ferguson-Lees and Christie 2001). Diet The eagle’s prey principally comprises small or medium-sized birds, but it will also take mammals, some reptiles, insects and rarely, carrion (Ferguson-Lees and Christie 2001). Breeding Site The nest is composed of sticks, up to 2m in diameter, located on remote cliff ledges or in a large tree. The nest is re-used in successive years. Breeding occurs from January to July in the west of the range, and from November to September in the Indomalayan region (Ferguson-Lees and Christie 2001)."
Aquila gurneyi,NA,Y,NA,NA,NA,NA
Aramidopsis plateni,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22692552/93358553
Arborophila javanica,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22679044/92800662
Arborophila rolli,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22732183/95043656
Arborophila rubrirostris,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22679060/130024385
Arborophila sumatrana,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22729814/95021881
Archboldia papuensis,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22731912/217503031#habitat-ecology
Arctictis binturong,NA,Y,NA,NA,NA,NA
Arctonyx collaris,NA,Y,NA,NA,NA,NA
Ardea alba,NA,Y,NA,Y,NA,NA
Ardea cinerea,NA,NA,NA,Y,NA,NA
Ardea intermedia,NA,NA,NA,Y,NA,NA
Ardea purpurea,NA,NA,NA,Y,NA,NA
Ardea sumatrana,NA,Y,NA,NA,NA,NA
Ardenna carneipes,NA,Y,NA,NA,NA,NA
Ardenna pacifica,NA,Y,NA,Y,NA,NA
Ardeola bacchus,NA,Y,NA,Y,NA,NA
Ardeotis australis,NA,Y,NA,NA,NA,NA
Arenaria interpres,NA,NA,NA,Y,NA,NA
Argusianus argus,NA,Y,NA,NA,NA,NA
Artamus cinereus,NA,NA,NA,Y,NA,NA
Artamus leucoryn,NA,NA,NA,Y,NA,NA
Artamus monachus,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706308/130417628
Astrapia nigra,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22706212/94056479
Astrapia splendidissima,NA,Y,NA,NA,NA,NA
Aviceda jerdoni,NA,Y,NA,NA,NA,NA
Aviceda leuphotes,NA,Y,NA,Y,NA,NA
Aviceda subcristata,NA,Y,NA,NA,NA,NA
Axis kuhlii,NA,Y,Y,NA,JAWA (PULAU BAWEAN),https://www.iucnredlist.org/species/2447/73071875
Aythya fuligula,NA,NA,NA,Y,NA,NA
Babyrousa babyrussa,NA,Y,Y,NA,MALUKU (PULAU BURU & TALIABU),https://www.iucnredlist.org/species/2461/9441445
Balaenoptera acutorostrata,NA,Y,NA,NA,NA,NA
Balaenoptera bonaerensis,NA,Y,NA,NA,NA,NA
Balaenoptera borealis,NA,Y,NA,Y,NA,NA
Balaenoptera edeni,NA,Y,NA,Y,NA,NA
Balaenoptera musculus,NA,Y,NA,NA,NA,NA
Balaenoptera omurai,NA,Y,NA,NA,NA,NA
Balantiocheilos melanopterus,NA,Y,NA,NA,NA,NA
Barbodes microps,NA,Y,NA,NA,YOGYAKARTA,"This barb species is known only from the cave system in the Gunung Sewu Karst Area of Yogyakarta (southern central part of Java, Indonesia), where the type locality of the species is located (Jomblang cave). The species has also been recorded from two other caves in the same area, the Ngingrong and Gremeng Caves (Rahmadi et al. 2018). Its extent of occurrence (EOO) is estimated to range around 25.3-141.7 km"
Basilornis celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22710958/131960712
Basilornis corythaix,NA,NA,Y,NA,MALUKU (PULAU SERAM),https://www.iucnredlist.org/species/22710965/94270274
Basilornis galeatus,NA,NA,Y,NA,MALUKU (PULAU PELENG & TALIABU),"Basilornis galeatus is restricted to the Banggai (Peleng, Banggai) and Sula Islands (Taliabu, Seho and Mangole), Indonesia."
Batagur affinis,NA,Y,NA,NA,NA,NA
Batagur borneoensis,NA,Y,NA,NA,NA,NA
Batrachostomus harterti,NA,Y,NA,NA,NA,NA
Batrachostomus poliolophus,NA,NA,Y,NA,SUMATERA,"Batrachostomus poliolophus is endemic to Sumatra, Indonesia, where it is known from a small number of records from the Barisan range, but is presumably greatly under-recorded because it is nocturnal (BirdLife International 2001)."
Berenicornis comatus,NA,Y,NA,NA,NA,NA
Birgus latro,NA,Y,NA,NA,NA,NA
Borassodendron borneense,NA,Y,NA,NA,NA,NA
Bos javanicus,NA,Y,NA,NA,NA,NA
Brachypteryx floris,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/103866688/104215750
Brachypteryx montana,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103866595/132045481
Brachypteryx saturata,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/103866639/104215462
Bubalus depressicornis,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/3126/46364222
Bubalus quarlesi,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/3128/46364433
Bubulcus ibis,NA,NA,NA,Y,NA,NA
Buceros bicornis,NA,Y,NA,NA,NA,NA
Buceros rhinoceros,NA,Y,NA,NA,NA,NA
Bulweria bulwerii,NA,Y,NA,Y,NA,NA
Bulweria fallax,NA,Y,NA,Y,NA,NA
Burhinus grallarius,NA,Y,NA,NA,NA,NA
Butastur indicus,NA,Y,NA,Y,NA,NA
Butastur liventer,NA,Y,NA,NA,NA,NA
Butastur teesa,NA,Y,NA,NA,NA,NA
Buteo japonicus,NA,Y,NA,Y,NA,NA
Butorides striata,NA,NA,NA,Y,NA,NA
Cacatua alba,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684789/178092137
Cacatua citrinocristata,NA,NA,Y,NA,NUSA TENGGARA (PULAU SUMBA),https://www.iucnredlist.org/species/200296433/201545199
Cacatua galerita,NA,Y,NA,NA,NA,NA
Cacatua goffiniana,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684800/178109782
Cacatua moluccensis,NA,Y,Y,NA,MALUKU (PULAU SERAM),https://www.iucnredlist.org/species/22684784/93046425
Cacatua sanguiena,NA,Y,NA,NA,NA,NA
Cacatua sulphurea,NA,Y,NA,NA,NA,NA
Cacomantis aeruginosus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22683935/118206284
Cacomantis flabelliformis,NA,NA,NA,Y,NA,NA
Cacomantis merulinus,NA,NA,NA,Y,NA,NA
Cacomantis sonneratii,NA,NA,NA,Y,NA,NA
Cairina scutulata,Asarcornis scutulata,Y,NA,NA,NA,NA
Asarcornis scutulata,NA,Y,NA,NA,NA,NA
Calidris acuminata,NA,NA,NA,Y,NA,NA
Calidris alba,NA,NA,NA,Y,NA,NA
Calidris canutus,NA,NA,NA,Y,NA,NA
Calidris falcinellus,NA,NA,NA,Y,NA,NA
Calidris ferruginea,NA,NA,NA,Y,NA,NA
Calidris pugnax,NA,NA,NA,Y,NA,NA
Calidris ruficollis,NA,NA,NA,Y,NA,NA
Calidris subminuta,NA,NA,NA,Y,NA,NA
Calidris temminckii,NA,NA,NA,Y,NA,NA
Calidris tenuirostris,NA,NA,NA,Y,NA,NA
Caloenas nicobarica,NA,Y,NA,NA,NA,NA
Calonectris leucomelas,NA,Y,NA,Y,NA,NA
Caloramphus hayii,NA,Y,NA,NA,NA,NA
Calorhamphus fuliginosus,NA,Y,NA,NA,NA,tidak ada di IUCN
Camptostemon philippinense,NA,Y,NA,NA,NA,di IUCN namanya Camptostemon philippinensis
Capricornis sumatraensis,NA,Y,NA,NA,NA,NA
Caprimulgus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22689937/93253421
Caprimulgus concretus,NA,Y,NA,NA,NA,NA
Caprimulgus jotaka,NA,NA,NA,Y,NA,NA
Caprimulgus meesi,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22732941/95052248
Caprimulgus pulchellus,NA,NA,Y,NA,SUMATERA & JAWA,"Caprimulgus pulchellus is restricted to Sumatra (South Barisan Mountains) and Java, Indonesia (BirdLife International 2001). Surveys in Java reported the species to be uncommon (1-3 individuals observed per day) at Gunung Salak and Gunung Slamet (Mittermeier et al. 2014). It is likely to be moderately secure in small numbers at higher elevations, but losing habitat and populations at lower levels where encroachment is occurring."
Carcinoscorpius rotundicauda,NA,Y,NA,NA,NA,NA
Caretta caretta,NA,Y,NA,Y,NA,NA
Carettochelys insculpta,NA,Y,NA,Y,NA,NA
Caridonax fulgidus,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22683512/92988527
Carpococcyx viridis,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22724459/112393882
Carterornis pileatus,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22707255/94113700
Caryota no,NA,Y,NA,NA,NA,NA
Cassis cornuta,NA,Y,NA,NA,NA,tidak ada di IUCN
Castanopsis argentea,NA,Y,NA,NA,SUMATERA & JAWA,"This species is native to Indonesia where it is present on the islands of Sumatra and Java. The species is found in many more localities in Java compared to Sumatra (Soepadmo 1972, Abdulhadi <em>et al. </em>1998). Presence in Kalimantan has been noted but there is no herbarium record (K. Kartawinata pers. comm. 2017). It is found from 150 to 1,400 m asl (Soepadmo 1972)."
Casuarius bennetti,NA,Y,NA,NA,NA,NA
Casuarius casuarius,NA,Y,NA,NA,NA,NA
Casuarius unappendiculatus,NA,Y,NA,NA,NA,NA
Cataponera turdoides,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22708538/94163855
Catharacta maccormicki,NA,Y,NA,NA,NA,NA
Catopuma badia,NA,Y,NA,NA,NA,NA
Catopuma temminckii,NA,Y,NA,NA,NA,NA
Cecropis daurica,NA,NA,NA,Y,NA,NA
Celebesica abbotti,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22706532/94075363
Centropus celebensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22684303/93024173
Centropus chalybeus,NA,NA,Y,NA,PAPUA (PULAU BIAK),https://www.iucnredlist.org/species/22684219/93019214
Centropus goliath,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22684195/93017963
Centropus nigrorufus,NA,Y,Y,NA,JAWA,"Centropus nigrorufus is endemic to Indonesia, where it occurs on Java, and possibly Sumatra (from where there is one specimen of doubtful origin and recent unconfirmed sight records) (BirdLife International 2001). It is now scarce or rare, sparsely distributed, although it may be under-recorded. It can still be found in suitable habitat at scattered sites along the north Java coast, and an isolated population remains at Muara Angke (N. Brickle in litt. 2007, 2012), which is completely surrounded by Jakarta. The species is occasionally recorded on sale in bird markets and displayed in zoos, but records in the wild are now few."
Centropus rectunguis,NA,Y,NA,NA,NA,"Centropus rectunguis occurs from extreme southern Thailand, through Peninsular Malaysia to Malaysian Borneo (Sabah and Sarawak), Brunei and Indonesia (Kalimantan and Sumatra) (BirdLife International 2001). It appears to be rare in Thailand and Sumatra, but apparently locally fairly common in Peninsular Malaysia and Borneo. In Sabah, Borneo the species was found at similar abundance in unlogged and in once- or twice-logged forest (Edwards et al. 2010)."
Centropus spilopterus,NA,NA,Y,NA,MALUKU (PULAU KEI),https://www.iucnredlist.org/species/22684212/93018899
Ceratolobus glaucescens,NA,Y,NA,NA,NA,NA
Cethosia myrina,NA,Y,NA,NA,NA,NA
Ceyx cajeli,NA,NA,Y,NA,MALUKU (PULAU BURU),https://www.iucnredlist.org/species/22726607/215997335
Ceyx erithaca,NA,NA,NA,Y,NA,NA
Ceyx fallax,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/45355839/185673753
