Species,Protected,Endemic,Migratory
Megacrex inepta,Y,,
Megaloprepia formosa,,Y,
Megapodius bernsteinii,Y,Y,
Megapodius cumingii,Y,,
Megapodius decollatus,Y,,
Megapodius forstenii,Y,,
Megapodius freycinet,Y,Y,
Megapodius geelvinkianus,Y,Y,
Megapodius reinwardt,Y,,
Megapodius tenimberensis,Y,Y,
Megaptera novaeangliae,Y,,
Megatriorchis doriae,Y,,
Meiglyptes tristis,,Y,
Melipotes carolae,Y,Y,
Melipotes fumigatus,Y,,
Melipotes gymnops,Y,Y,
Meropogon forsteni,Y,Y,
Merops leschenaulti,,,Y
Merops ornatus,,,Y
Merops philippinus,,,Y
Merops viridis,,,Y
Mesoplodon densirostris,Y,,
Mesoplodon ginkgodens,Y,,
Microeca hemixantha,,Y,
Microhierax fringillarius,Y,,
Microhierax latifrons,Y,,
Micropsitta bruijnii,Y,,Y
Micropsitta geelvinkiana,Y,Y,
Micropsitta keiensis,Y,,
Micropsitta pusio,Y,,
Milvus migrans,Y,,Y
Mixornis flavicollis,,Y,
Mixornis prillwitzi,,Y,
Monarcha frater,,,Y
Monarcha melanopsis,,,Y
Monticola solitarius,,,Y
Morelia viridis,Y,,
Motacilla cinerea,,,Y
Motacilla tschutschensis,,,Y
Mulleripicus fulvus,Y,Y,
Mulleripicus pulverulentus,Y,,
Muntiacus atherodes,Y,,
Muntiacus muntjak,Y,,
Muscicapa dauurica,,,Y
Muscicapa ferruginea,,,Y
Muscicapa griseisticta,,,Y
Muscicapa segregata,,Y,
Muscicapa sibirica,,,Y
Muscicapa sodhii,Y,,
Mycteria cinerea,Y,,Y
Myiagra cyanoleuca,,,Y
Myiagra rubecula,,,Y
Myiomela diana,,Y,
Myophonus castaneus,,Y,
Myophonus glaucinus,,Y,
Myophonus melanurus,,Y,
Myza celebensis,,Y,
Myza sarasinorum,,Y,
Myzomela batjanensis,,Y,
Myzomela blasii,,Y,
Myzomela boiei,,Y,
Myzomela chloroptera,,Y,
Myzomela kuehni,,Y,
Myzomela rubrobrunnea,,Y,
Myzomela rubrotincta,,Y,
Myzomela simplex,,Y,
Myzomela wakoloensis,,Y,
Napothera albostriata,,Y,
Nasalis larvatus,Y,,
Natator depressus,Y,,
"Nautilus pompilius Linne, 1758",Y,,
Neofelis diardi,Y,,
Neolissochilus thienemanni,Y,,
Neophocaena phocaenoides,Y,,
Neopsittacus musschenbroeki,Y,,
Neopsittacus pullicauda,Y,,
Neopteryx frosti,Y,,
Nepenthes adnata,Y,,
Nepenthes adrianii,Y,,
Nepenthes albomarginata,Y,,
Nepenthes aristolochioides,Y,,
Nepenthes bicalcarata,Y,,
Nepenthes bongso,Y,,
Nepenthes boschiana,Y,,
Nepenthes campanulata,Y,,
Nepenthes clipeata,Y,,
Nepenthes danseri,Y,,
Nepenthes densiflora,Y,,
Nepenthes diatas,Y,,
Nepenthes dubia,Y,,
Nepenthes ephippiata,Y,,
Nepenthes epiphytica,Y,,
Nepenthes eustachya,Y,,
Nepenthes eymae,Y,,
Nepenthes fusca,Y,,
Nepenthes glabrata,Y,,
Nepenthes gymnamphora,Y,,
Nepenthes hamata,Y,,
Nepenthes hirsuta,Y,,
Nepenthes hispida,Y,,
Nepenthes inermis,Y,,
Nepenthes insignis,Y,,
Nepenthes izumiae,Y,,
Nepenthes jacquelineae,Y,,
Nepenthes jamban,Y,,
Nepenthes klossii,Y,,
Nepenthes lamii,Y,,
Nepenthes lavicola,Y,,
Nepenthes lingulata,Y,,
Nepenthes lowii,Y,,
Nepenthes mapuluensis,Y,,
Nepenthes maxima,Y,,
Nepenthes mikei,Y,,
Nepenthes mollis,Y,,
Nepenthes naga,Y,,
Nepenthes neoguineensis,Y,,
Nepenthes nigra,Y,,
Nepenthes ovata,Y,,
Nepenthes paniculata,Y,,
Nepenthes papuana,Y,,
Nepenthes pectinata,Y,,
Nepenthes pilosa,Y,,
Nepenthes pitopangii,Y,,
Nepenthes rhombicaulis,Y,,
Nepenthes rigidifolia,Y,,
Nepenthes singalana,Y,,
Nepenthes spathulata,Y,,
Nepenthes spectabilis,Y,,
Nepenthes stenophylla,Y,,
Nepenthes sumatrana,Y,,
Nepenthes tentaculata,Y,,
Nepenthes tobaica,Y,,
Nepenthes tomoriana,Y,,
Nepenthes treubiana,Y,,
Nepenthes undulatifolia,Y,,
Nepenthes veitchii,Y,,
Nesolagus netscheri,Y,,
Nettapus coromandelianus,Y,,Y
Ninox burhani,Y,Y,
Ninox forbesi,,Y,
Ninox hantu,,Y,
Ninox ios,Y,Y,
Ninox japonica,,,Y
Ninox ochracea,,Y,
Ninox punctulata,,Y,
Ninox rudolfi,,Y,
Ninox squamipila,,Y,
Ninox sumbaensis,,Y,
Nisaetus alboniger,Y,,
Nisaetus bartelsi,Y,Y,
Nisaetus cirrhatus,Y,,
Nisaetus floris,Y,Y,
Nisaetus lanceolatus,Y,Y,
Nisaetus nanus,Y,,
Notopterus notopterus,Y,,
Numenius arquata,Y,,Y
Numenius madagascariensis,Y,,Y
Numenius minutus,Y,,Y
Numenius phaeopus,Y,,Y
Nycticebus coucang,Y,,
Nycticebus javanicus,Y,,
Nycticebus menagensis,Y,,
Nycticorax caledonicus,Y,,Y
Nycticorax nycticorax,,,Y
Oceanites oceanicus,Y,,Y
Onychoprion aleuticus,Y,,Y
Onychoprion anaethetus,Y,,Y
Onychoprion fuscatus,Y,,Y
Onychoprion lunatus,Y,,
Orcaella brevirostris,Y,,
Orcinus orca,Y,,
Oreopsittacus arfaki,Y,,
Oreornis chrysogenys,,Y,
Oriolus bouroensis,,Y,
Oriolus chinensis,,,Y
Oriolus cruentus,,Y,
Oriolus decipiens,,Y,
Oriolus forsteni,,Y,
Oriolus sagittatus,,,Y
Orlitia borneensis,Y,,
Ornithoptera aesacus,Y,,
Ornithoptera chimaera,Y,,
Ornithoptera croesus,Y,,
Ornithoptera goliath,Y,,
Ornithoptera meridionalis,Y,,
Ornithoptera paradisea,Y,,
Ornithoptera priamus,Y,,
Ornithoptera rothschildi,Y,,
Ornithoptera tithonus,Y,,
Orthotomus sepium,,Y,
Otidiphaps aruensis,,Y,
Otus alfredi,Y,Y,
Otus angelinae,Y,Y,
Otus beccarii,Y,Y,
Otus brookii,Y,,
Otus collari,Y,Y,
Otus enganensis,Y,Y,
Otus jolandae,Y,,
Otus manadensis,Y,Y,
Otus mendeni,Y,Y,
Otus mentawi,Y,Y,
Otus siaoensis,Y,Y,
Otus silvicola,,Y,
Otus sulaensis,,Y,
Otus sunia,,,Y
Otus tempestatis,,Y,
Otus umbra,Y,Y,
Pachycephala griseonota,,Y,
Pachycephala mentalis,,Y,
Pachycephala meyeri,,Y,
Pachycephala nudigula,,Y,
Pachycephala par,,Y,
Pachycephala phaionota,,Y,
Pachycephala sulfuriventer,,Y,
Pachycephala teysmanni,,Y,
Pachyptila desolata,Y,,
Pandion haliaetus,Y,,Y
Panthera pardus melas,Y,,
Panthera tigris sumatrae,Y,Y,
Papasula abbotti,Y,,Y
Paphiopedilum gigantifolium,Y,,
Paphiopedilum glanduliferum,Y,,
Paphiopedilum glaucophyllum,Y,,
Paphiopedilum kolopakingii,Y,,
Paphiopedilum liemianum,Y,,
Paphiopedilum mastersianum,Y,,
Paphiopedilum nataschae,Y,,
Paphiopedilum primulinum,Y,,
Paphiopedilum robinsonianum,Y,,
Paphiopedilum sangii,Y,,
Paphiopedilum supardii,Y,,
Paphiopedilum victoria-mariae,Y,,
Paphiopedilum victoria-regina,Y,,
Paphiopedilum violacens,Y,,
Paphiopedilum wilhelminae,Y,,
Paradigalla brevicauda,Y,,
Paradigalla carunculata,Y,Y,
Paradisaea apoda,Y,,
Paradisaea minor,Y,,
Paradisaea rubra,Y,Y,
Paraphalaenopsis denevei,Y,,
Paraphalaenopsis labukensis,Y,,
Paraphalaenopsis laycockii,Y,,
Paraphalaenopsis serpentilingua,Y,,
Pardofelis marmorata,Y,,
Parotia berlepschi,Y,Y,
Parotia carolae,Y,,
Parotia sefilata,Y,Y,
Pavo muticus,Y,,
Pelagodroma marina,Y,,Y
Pelargopsis melanorhyncha,,Y,
Pelecanus conspicillatus,Y,,Y
Pelecanus onocrotalus,Y,,
Pelecanus philippensis,Y,,Y
Pellorneum capistratum,,Y,
Peneothello cryptoleuca,,Y,
Peponocephala electra,Y,,
Pericrocotus divaricatus,,,Y
Pericrocotus lansbergei,,Y,
Pericrocotus miniatus,,Y,
Pernis celebensis,Y,Y,
Pernis ptilorhynchus,Y,,Y
Petrochelidon nigricans,,,Y
Petroica archboldi,Y,Y,
Petroica bivittata,Y,,
Phaethon lepturus,Y,,Y
Phaethon rubricauda,Y,,Y
Phalacrocorax carbo,,,Y
Phalaenopsis bellina,Y,,
Phalaenopsis celebensis,Y,,
Phalaenopsis floresensis,Y,,
Phalaenopsis gigantea,Y,,
Phalaenopsis javanica,Y,,
Phalaenopsis sumatrana,Y,,
Phalanger alexandrae,Y,,
Phalanger carmelitae,Y,,
Phalanger gymnotis,Y,,
Phalanger intercastellanus,Y,,
Phalanger matabiru,Y,,
Phalanger rothschildi,Y,,
Phalanger sericeus,Y,,
Phalanger vestitus,Y,,
Phalaropus lobatus,Y,,Y
Philemon brassi,,Y,
Philemon citreogularis,,,Y
Philemon corniculatus,,,Y
Philemon kisserensis,,Y,
Philemon moluccensis,,Y,
Philemon plumigenis,,Y,
Philemon subcorniculatus,,Y,
Phonygammus keraudrenii,Y,,
Phylloscopus borealis,,,Y
Phylloscopus coronatus,,,Y
Phylloscopus examinandus,,,Y
Phylloscopus grammiceps,,Y,
Phylloscopus maforensis,,Y,
Phylloscopus misoriensis,,Y,
Phylloscopus sarasinorum,,Y,
Phylloscopus xanthodryas,,,Y
Physeter macrocephalus,Y,,
Picoides temminckii,,Y,
Pigafetta filaris,Y,,
Pinanga javana,Y,,
Pitohui cerviniventris,,Y,
Pitta elegans,Y,,
Pitta maxima,Y,Y,
Pitta megarhyncha,Y,,
Pitta moluccensis,Y,,Y
Pitta morotaiensis,Y,Y,
Pitta novaeguineae,,,Y
Pitta nympha,Y,,
Pitta rosenbergii,Y,Y,Y
Pitta sordida,Y,,Y
Pitta versicolor,Y,,Y
Platalea regia,Y,,Y
Platylophus galericulatus,Y,,
Platysmurus leucopterus,Y,,
Plegadis falcinellus,Y,,Y
Pluvialis fulva,,,Y
Pluvialis squatarola,,,Y
Podiceps cristatus,Y,,
Polyplectron chalcurum,Y,Y,
Polyplectron schleiermacheri,Y,,
Pongo abelii,Y,Y,
Pongo pygmaeus,Y,Y,
Pongo tapanuliensis,Y,Y,
Porzana paykullii,Y,,
Porzana tabuensis,Y,,
Presbytis comata,Y,,
Presbytis frontata,Y,,
Presbytis melalophos,Y,,
Presbytis natunae,Y,,
Presbytis potenziani,Y,,
Presbytis rubicunda,Y,,
Presbytis thomasi,Y,,
Prinia familiaris,,Y,
Prionailurus bengalensis,Y,,
Prionailurus planiceps,Y,,
Prionailurus viverrinus,Y,,
Prioniturus flavicans,Y,Y,
Prioniturus mada,Y,Y,
Prioniturus platurus,Y,Y,
Prionodon linsang,Y,,
Pristis clavata,Y,,
Pristis pristis,Y,,
Pristis zijsron,Y,,
Probosciger aterrimus,Y,,
Psaltria exilis,Y,Y,
Pseudeos fuscata,Y,,Y
Pseudibis davisoni,Y,,
Pseudobulweria rostrata,Y,,
Pseudorca crassidens,Y,,
Psilopogon armillaris,Y,Y,
Psilopogon chrysopogon,Y,,
Psilopogon corvinus,Y,Y,
Psilopogon eximius,Y,,
Psilopogon henricii,Y,,
Psilopogon javensis,Y,Y,
Psilopogon lineatus,Y,,
Psilopogon monticola,Y,,
Psilopogon mystacophanos,Y,,
Psilopogon oorti,Y,,
Psilopogon pulcherrimus,Y,,
Psilopogon pyrolophus,Y,,
Psilopogon rafflesii,Y,,
Psittacella brehmii,Y,,
Psittacella lorentzi,Y,Y,
Psittacella madaraszi,Y,,
Psittacella modesta,Y,,
Psittacella picta,Y,,
Psittacula alexandri,Y,,
Psittacula longicauda,Y,,
Psittaculirostris cervicalis,Y,,
Psittaculirostris desmarestii,Y,Y,
Psittaculirostris edwardsii,Y,,
Psittaculirostris godmani,Y,,
Psittaculirostris salvadorii,Y,Y,
Psitteuteles goldiei,Y,,
Psitteuteles iris,Y,,
Psittinus abbotti,,Y,
Psittinus cyanurus,Y,,
Psittrichas fulgidus,Y,,
Pteridophora alberti,Y,,
Pterodorma baraui,Y,,
Pterodorma sandwichensis,Y,,
Pteropus pumilus,Y,,
Pteruthius flaviscapis,,Y,
Ptilinopus dohertyi,Y,Y,
Ptilinopus granulifrons,Y,Y,
Ptilinopus hyogastrus,,Y,
Ptilinopus regina,,,Y
Ptilinopus temminckii,,Y,
Ptilinopus wallacii,,Y,
Ptilocichla leucogrammica,Y,,
Puffinus heinrothi,Y,,
Pycnonotus bimaculatus,,Y,
Pycnonotus tympanistrigus,,Y,
Python bivittatus,Y,,
Rafflesia arnoldii,Y,,
Rafflesia bengkuluensis,Y,,
Rafflesia gadutensis,Y,,
Rafflesia hasseltii,Y,,
Rafflesia kemumu,Y,,
Rafflesia lawangensis,Y,,
Rafflesia meijeri,Y,,
Rafflesia micropylora,Y,,
Rafflesia patma,Y,,
Rafflesia pricei,Y,,
Rafflesia rochussenii,Y,,
Rafflesia tuan-mudae,Y,,
Rafflesia zollingeriana,Y,,
Rallicula forbesi,Y,,
Rallicula leucospila,Y,Y,
Rallicula mayri,Y,,
Rallina eurizonoides,,,Y
Rallina fasciata,,,Y
Ramphiculus epius,,Y,
Ramphiculus fischeri,,Y,
Ramphiculus jambu,,,Y
Ramphiculus mangoliensis,,Y,
Ramphiculus meridionalis,,Y,
Ramphiculus subgularis,,Y,
Ramsayornis modestus,,,Y
Reinwardtoena reinwardti,,Y,
Rhabdotorrhinus corrugatus,Y,,
Rhabdotorrhinus exarhatus,Y,Y,
Rhinoceros sondaicus,Y,,
Rhinoplax vigil,Y,,
Rhipidura dedemi,,Y,
Rhipidura diluta,,Y,
Rhipidura dryas,,,Y
Rhipidura euryura,Y,Y,
Rhipidura fuscorufa,,Y,
Rhipidura hoedti,,Y,
Rhipidura javanica,Y,,
Rhipidura kordensis,,Y,
Rhipidura opistherythra,,Y,
Rhipidura phoenicura,Y,Y,
Rhipidura rufifrons,,,Y
Rhipidura superflua,,Y,
Rhipidura tenkatei,,Y,
Rhipidura teysmanni,,Y,
Rhyticeros cassidix,Y,Y,
Rhyticeros everetti,Y,Y,
Rhyticeros plicatus,Y,,
Rhyticeros undulatus,Y,,
Rostratula benghalensis,Y,,
Rubigula dispar,,Y,
Rusa timorensis,Y,,
Rusa unicolor,Y,,
Salvadorina waigiuensis,Y,,
Saxicola caprata,,,Y
Schismatorhynchus heterorhynchus,Y,,
Scissirostrum dubium,,Y,
Scleropages formosus,Y,,
Scleropages jardinii,Y,,
Scolopax celebensis,Y,Y,
Scolopax rochussenii,Y,Y,
Scolopax rosenbergii,Y,,
Scolopax saturata,Y,Y,
Scythrops novaehollandiae,,,Y
Seleucidis melanoleucus,Y,,
Semioptera wallacii,Y,Y,
Sericornis rufescens,,Y,
Sericulus ardens,Y,,
Sericulus aureus,Y,,
Setornis criniger,Y,,
Simalia boeleni,Y,,
Simias concolor,Y,,
Sousa chinensis,Y,,
Spatula querquedula,,,Y
Spilocuscus maculatus,Y,,
Spilocuscus papuensis,Y,,
Spilocuscus rufoniger,Y,,
Spilopelia chinensis,,,Y
Spilornis cheela,Y,,
Spilornis kinabaluensis,Y,,
Spilornis rufipectus,Y,Y,
Stachyris grammiceps,Y,Y,
Stachyris thoracica,,Y,
Stenella attenuata,Y,,
Stenella coeruleoalba,Y,,
Stenella longirostris,Y,,
Steno bredanensis,Y,,
Stercorarius longicaudus,Y,,Y
Stercorarius parasiticus,Y,,Y
Stercorarius pomarinus,Y,,Y
Sterluna albifrons,Y,,
Sterna dougallii,Y,,Y
Sterna hirundo,Y,,Y
Sterna paradisea,Y,,
Sterna sumatrana,Y,,Y
Sternula albifrons,,,Y
Stiltia isabella,Y,,Y
Streptocitta albertinae,,Y,
Streptocitta albicollis,,Y,
Streptocitta torquata,,Y,
Streptopelia tranquebarica,,,Y
Strigocuscus celebensis,Y,,
Strigocuscus pelengensis,Y,,
Sula dactylatra,Y,,
Sula leucogaster,Y,,
Sula sula,Y,,Y
Surniculus dicruroides,,,Y
Surniculus lugubris,,,Y
Surniculus musschenbroeki,,Y,
Symphalangus syndactylus,Y,,
Symposiachrus boanensis,Y,Y,
Symposiachrus brehmii,Y,Y,
Symposiachrus everetti,Y,Y,
Symposiachrus julianae,Y,Y,
Symposiachrus leucurus,,Y,
Symposiachrus loricatus,,Y,
Symposiachrus sacerdotum,Y,Y,
Symposiachrus trivirgatus,,,Y
Tachybaptus novaehollandiae,Y,,Y
Tachybaptus ruficollis,Y,,Y
Tachyglossus aculeatus,Y,,
Tachypleus gigas,Y,,
Tachypleus tridentatus,Y,,
Talegalla cuvieri,Y,Y,
Talegalla fuscirostris,Y,,
Talegalla jobiensis,Y,,
Tanygnathus gramineus,Y,Y,
Tanygnathus lucionensis,Y,,
Tanygnathus megalorynchos,Y,,
Tanygnathus sumatranus,Y,,
Tanysiptera carolinae,Y,Y,
Tanysiptera ellioti,Y,Y,
Tanysiptera riedelii,Y,Y,
Tanysiptera sylvia,,,Y
Tapirus indicus,Y,,
Tarsius bancanus,Y,,
Tarsius dentatus,Y,,
Tarsius lariang,Y,,
Tarsius pelengensis,Y,,
Tarsius pumilus,Y,,
Tarsius sangirensis,Y,,
Tarsius tarsier,Y,,
Tarsius tumpara,Y,,
Taxus sumatrana,Y,,
Tephrozosterops stalkeri,,Y,
Terpsiphone affinis,,,Y
Terpsiphone atrocaudata,,,Y
Terpsiphone floris,,Y,Y
Terpsiphone incei,,,Y
Tesia everetti,,Y,
Tesia superciliaris,,Y,
Thalasseus bengalensis,Y,,Y
Thalasseus bergii,Y,,Y
Thalasseus bernsteini,Y,,Y
Threskiornis melanocephalus,Y,,Y
Threskiornis moluccus,Y,,Y
Threskiornis spinicollis,Y,,Y
Thylogale browni,Y,,
Thylogale brunii,Y,,
Thylogale stigmatica,Y,,
Todiramphus diops,,Y,
Todiramphus enigma,,Y,
Todiramphus funebris,,Y,
Todiramphus lazuli,,Y,
Todiramphus macleayii,,,Y
Todiramphus sanctus,,,Y
Todirhamphus australasia,Y,,
Todirhamphus enigma,Y,,
Todirhamphus funebris,Y,,
Todirhamphus lazuli,Y,,
Todirhamphus saurophagus,Y,,
Tomistoma schlegelii,Y,,
Trachypithecus auratus,Y,,
Trachypithecus cristatus,Y,,
Tragulus javanicus,Y,,
Tragulus kanchil,Y,,
Tragulus napu,Y,,
Treron aromaticus,,Y,
Treron curvirostra,,,Y
Treron griseicauda,,Y,
Treron olax,,,Y
Treron oxyurus,,Y,
Treron psittaceus,Y,,
Treron teysmannii,Y,Y,
Trichoglossus capistratus,Y,,
Trichoglossus euteles,Y,,
Trichoglossus flavoviridis,Y,Y,
Trichoglossus forsteni,Y,Y,
Trichoglossus haematodus,Y,,
Trichoglossus meyeri,Y,Y,
Trichoglossus ornatus,Y,Y,
Trichoglossus rosenbergii,Y,Y,
Trichoglossus weberi,Y,Y,
Tringa brevipes,,,Y
Tringa erythropus,Y,,Y
Tringa flavipes,Y,,
Tringa glareola,,,Y
Tringa guttifer,Y,,Y
Tringa incana,Y,,
Tringa nebularia,,,Y
Tringa ochropus,Y,,Y
Tringa stagnatilis,,,Y
Tringa totanus,,,Y
Trogonoptera brookiana,Y,,
Troides amphrysus,Y,,
Troides andromache,Y,,
Troides criton,Y,,
Troides cuneifera,Y,,
Troides dohertyi,Y,,
Troides haliphron,Y,,
Troides helena,Y,,
Troides hypolitus,Y,,
Troides meoris,Y,,
Troides miranda,Y,,
Troides oblongomaculatus,Y,,
Troides plato,Y,,
Troides prattorum,Y,,
Troides riedeli,Y,,
Troides vandepolli,Y,,
Turdinus macrodactylus,Y,,
Turdus obscurus,,,Y
Turnix everetti,Y,Y,
Tursiops aduncus,Y,,
Tursiops truncatus,Y,,
Tyto almae,,Y,
Tyto inexspectata,Y,Y,
Tyto nigrobrunnea,Y,Y,
Tyto rosenbergii,,Y,
Urolophus kaianus,Y,,
Vanda celebica,Y,,
Vanda sumatrana,Y,,
Vanellus cinereus,Y,,
Vanellus indicus,Y,,
Vanellus macropterus,Y,Y,
Vanellus miles,Y,,
Varanus auffenbergi,Y,,
Varanus becarii,Y,,
Varanus boehmei,Y,,
Varanus indicus,Y,,
Varanus komodoensis,Y,Y,
Varanus melinus,Y,,
Varanus nebulosus,Y,,
Varanus panoptes,Y,,
Varanus prasinus,Y,,
Varanus reisingeri,Y,,
Varanus similis,Y,,
Varanus timorensis,Y,,
Varanus togianus,Y,,
Vatica javanica,Y,,
Xema sabini,Y,,
Xenus cinereus,,,Y
Zaglossus bruijni,Y,,
Zapornia fusca,,,Y
Zapornia paykullii,,,Y
Zapornia pusilla,,,Y
Ziphius cavirostris,Y,,
Zonerodius heliosylus,Y,,
Zoothera aurea,,,Y
Zoothera heinrichi,,Y,
Zoothera machiki,,Y,
Zosterops atriceps,,Y,
Zosterops atrifrons,,Y,
Zosterops buruensis,,Y,
Zosterops chloris,,Y,
Zosterops flavus,Y,Y,
Zosterops grayi,,Y,
Zosterops kuehni,,Y,
Zosterops melanurus,,Y,
Zosterops mysorensis,,Y,
Zosterops nehrkorni,Y,Y,
Zosterops stalkeri,,Y,
Zosterops uropygialis,,Y,
